numproc,run,N,sorted_ok,scatter_time,classify_time,alltoallv_time,sort_time,gatherv_time,total_time
1,1,5000000,YES,0.127342,0.078887,0.051029,0.704724,0.026215,0.988196
1,2,5000000,YES,0.128621,0.077916,0.050624,0.700605,0.026129,0.983895
1,3,5000000,YES,0.127894,0.077767,0.050111,0.697158,0.026751,0.979681
2,1,10000000,YES,0.249546,0.079391,0.056242,0.766206,0.054618,1.206003
2,2,10000000,YES,0.253144,0.080745,0.056928,0.784600,0.055732,1.231150
2,3,10000000,YES,0.252723,0.079917,0.056552,0.788291,0.055721,1.233204
4,1,20000000,YES,0.478170,0.076934,0.061137,0.876038,0.114745,1.607025
4,2,20000000,YES,0.465413,0.075886,0.060478,0.879184,0.113250,1.594211
4,3,20000000,YES,0.464386,0.076963,0.061744,0.872119,0.113194,1.588406
8,1,40000000,YES,1.032661,0.078514,0.067699,1.132340,0.239943,2.551158
8,2,40000000,YES,0.988864,0.076775,0.066493,1.074577,0.235340,2.442050
8,3,40000000,YES,1.042205,0.078970,0.067709,1.129934,0.239146,2.557964
16,1,80000000,YES,2.087854,0.078312,0.100679,1.151374,0.476244,3.894463
16,2,80000000,YES,2.076398,0.075496,0.090104,1.136506,0.484149,3.862654
16,3,80000000,YES,2.107406,0.075726,0.121074,1.137986,0.486262,3.928453
