study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
converge,seq,seq,100,1,3711,1,0.059123,,,,2a405d2d58e05d9,1,0.04
converge,omp,static,100,1,3711,1,0.059402,0.0581,0.0581,0.0581,2a405d2d58e05d9,1,0.04
converge,omp,dynamic,100,1,3711,1,0.060490,0.0592,0.0592,0.0592,2a405d2d58e05d9,1,0.04
converge,omp,static,100,2,3711,1,0.033309,0.0302,0.0293,0.0298,2a405d2d58e05d9,1,0.04
converge,omp,dynamic,100,2,3711,1,0.036322,0.0331,0.0330,0.0331,2a405d2d58e05d9,1,0.04
converge,omp,static,100,4,3711,1,0.019958,0.0156,0.0145,0.0150,2a405d2d58e05d9,1,0.04
converge,omp,dynamic,100,4,3711,1,0.027508,0.0221,0.0219,0.0220,2a405d2d58e05d9,1,0.04
converge,omp,static,100,8,3711,1,0.015495,0.0089,0.0077,0.0082,2a405d2d58e05d9,1,0.04
converge,omp,dynamic,100,8,3711,1,0.034059,0.0213,0.0212,0.0212,2a405d2d58e05d9,1,0.04
converge,seq,seq,100,1,3711,1,0.058691,,,,2a405d2d58e05d9,2,0.04
converge,omp,static,100,1,3711,1,0.060190,0.0589,0.0589,0.0589,2a405d2d58e05d9,2,0.04
converge,omp,dynamic,100,1,3711,1,0.060729,0.0594,0.0594,0.0594,2a405d2d58e05d9,2,0.04
converge,omp,static,100,2,3711,1,0.032304,0.0296,0.0294,0.0295,2a405d2d58e05d9,2,0.04
converge,omp,dynamic,100,2,3711,1,0.035942,0.0331,0.0330,0.0331,2a405d2d58e05d9,2,0.04
converge,omp,static,100,4,3711,1,0.020502,0.0155,0.0143,0.0151,2a405d2d58e05d9,2,0.04
converge,omp,dynamic,100,4,3711,1,0.031282,0.0235,0.0234,0.0235,2a405d2d58e05d9,2,0.04
converge,omp,static,100,8,3711,1,0.019280,0.0084,0.0076,0.0080,2a405d2d58e05d9,2,0.04
converge,omp,dynamic,100,8,3711,1,0.035103,0.0253,0.0226,0.0231,2a405d2d58e05d9,2,0.04
converge,seq,seq,200,1,13543,1,0.992113,,,,572be13f433f454e,1,0.04
converge,omp,static,200,1,13543,1,1.006348,1.0011,1.0011,1.0011,572be13f433f454e,1,0.12
converge,omp,dynamic,200,1,13543,1,1.004863,0.9996,0.9996,0.9996,572be13f433f454e,1,0.12
converge,omp,static,200,2,13543,1,0.515588,0.5052,0.4928,0.4990,572be13f433f454e,1,0.12
converge,omp,dynamic,200,2,13543,1,0.530079,0.5122,0.5098,0.5110,572be13f433f454e,1,0.12
converge,omp,static,200,4,13543,1,0.272645,0.2571,0.2385,0.2511,572be13f433f454e,1,0.12
converge,omp,dynamic,200,4,13543,1,0.301689,0.2740,0.2719,0.2732,572be13f433f454e,1,0.12
