study,version,part,npix,threads,iters,converged,time,busymax,busymin,busyavg,hash,rep,load
converge,seq,seq,100,1,3711,1,0.015688,,,,2a405d2d58e05d9,1,3.04
converge,omp,static,100,1,3711,1,0.015703,0.0156,0.0156,0.0156,2a405d2d58e05d9,1,3.04
converge,omp,dynamic,100,1,3711,1,0.015682,0.0156,0.0156,0.0156,2a405d2d58e05d9,1,3.04
converge,omp,static,100,2,3711,1,0.046754,0.0101,0.0096,0.0098,2a405d2d58e05d9,1,3.04
converge,omp,dynamic,100,2,3711,1,0.039632,0.0162,0.0042,0.0102,2a405d2d58e05d9,1,3.04
converge,omp,static,100,3,3711,1,0.058240,0.0064,0.0061,0.0063,2a405d2d58e05d9,1,3.04
converge,omp,dynamic,100,3,3711,1,0.055746,0.0120,0.0028,0.0074,2a405d2d58e05d9,1,3.04
converge,omp,static,100,4,3711,1,0.068865,0.0049,0.0046,0.0047,2a405d2d58e05d9,1,3.04
converge,omp,dynamic,100,4,3711,1,0.068790,0.0140,0.0002,0.0053,2a405d2d58e05d9,1,3.04
converge,omp,static,100,6,3711,1,0.124191,0.0037,0.0031,0.0034,2a405d2d58e05d9,1,3.04
converge,omp,dynamic,100,6,3711,1,0.124725,0.0132,0.0002,0.0042,2a405d2d58e05d9,1,3.04
converge,omp,static,100,8,3711,1,0.152158,0.0052,0.0024,0.0032,2a405d2d58e05d9,1,3.04
converge,omp,dynamic,100,8,3711,1,0.173041,0.0130,0.0003,0.0039,2a405d2d58e05d9,1,3.04
converge,omp,static,100,10,3711,1,0.223217,0.0039,0.0021,0.0033,2a405d2d58e05d9,1,3.04
converge,omp,dynamic,100,10,3711,1,0.207385,0.0131,0.0003,0.0034,2a405d2d58e05d9,1,3.04
converge,seq,seq,100,1,3711,1,0.015777,,,,2a405d2d58e05d9,2,3.04
converge,omp,static,100,1,3711,1,0.015709,0.0156,0.0156,0.0156,2a405d2d58e05d9,2,3.04
converge,omp,dynamic,100,1,3711,1,0.015979,0.0159,0.0159,0.0159,2a405d2d58e05d9,2,3.04
converge,omp,static,100,2,3711,1,0.048022,0.0107,0.0101,0.0104,2a405d2d58e05d9,2,3.04
converge,omp,dynamic,100,2,3711,1,0.047727,0.0182,0.0049,0.0115,2a405d2d58e05d9,2,3.04
converge,omp,static,100,3,3711,1,0.060991,0.0066,0.0062,0.0064,2a405d2d58e05d9,2,3.04
converge,omp,dynamic,100,3,3711,1,0.056223,0.0132,0.0009,0.0069,2a405d2d58e05d9,2,3.04
converge,omp,static,100,4,3711,1,0.068242,0.0047,0.0043,0.0046,2a405d2d58e05d9,2,3.04
converge,omp,dynamic,100,4,3711,1,0.072894,0.0136,0.0002,0.0055,2a405d2d58e05d9,2,3.04
converge,omp,static,100,6,3711,1,0.116760,0.0036,0.0030,0.0033,2a405d2d58e05d9,2,3.04
converge,omp,dynamic,100,6,3711,1,0.126492,0.0126,0.0003,0.0043,2a405d2d58e05d9,2,3.04
converge,omp,static,100,8,3711,1,0.153253,0.0050,0.0022,0.0030,2a405d2d58e05d9,2,3.04
converge,omp,dynamic,100,8,3711,1,0.147888,0.0143,0.0002,0.0035,2a405d2d58e05d9,2,3.04
converge,omp,static,100,10,3711,1,0.199770,0.0068,0.0019,0.0037,2a405d2d58e05d9,2,3.04
converge,omp,dynamic,100,10,3711,1,0.195622,0.0134,0.0003,0.0034,2a405d2d58e05d9,2,3.04
converge,seq,seq,200,1,13543,1,0.243445,,,,572be13f433f454e,1,3.04
converge,omp,static,200,1,13543,1,0.241938,0.2417,0.2417,0.2417,572be13f433f454e,1,3.04
converge,omp,dynamic,200,1,13543,1,0.243534,0.2432,0.2432,0.2432,572be13f433f454e,1,3.04
converge,omp,static,200,2,13543,1,0.297736,0.1582,0.1517,0.1550,572be13f433f454e,1,3.04
converge,omp,dynamic,200,2,13543,1,0.269208,0.1660,0.1276,0.1468,572be13f433f454e,1,3.04
converge,omp,static,200,3,13543,1,0.295050,0.0902,0.0879,0.0887,572be13f433f454e,1,3.03
converge,omp,dynamic,200,3,13543,1,0.269121,0.1222,0.0656,0.0943,572be13f433f454e,1,3.03
converge,omp,static,200,4,13543,1,0.297322,0.0670,0.0616,0.0646,572be13f433f454e,1,3.03
converge,omp,dynamic,200,4,13543,1,0.367822,0.1152,0.0572,0.0826,572be13f433f454e,1,3.03
converge,omp,static,200,6,13543,1,0.539745,0.0738,0.0438,0.0523,572be13f433f454e,1,3.03
converge,omp,dynamic,200,6,13543,1,0.532098,0.1054,0.0046,0.0551,572be13f433f454e,1,3.03
converge,omp,static,200,8,13543,1,0.586826,0.0681,0.0333,0.0405,572be13f433f454e,1,3.03
converge,omp,dynamic,200,8,13543,1,0.622807,0.1087,0.0008,0.0419,572be13f433f454e,1,3.03
converge,omp,static,200,10,13543,1,0.759276,0.0799,0.0268,0.0427,572be13f433f454e,1,3.03
converge,omp,dynamic,200,10,13543,1,0.768513,0.1116,0.0012,0.0376,572be13f433f454e,1,3.03
converge,seq,seq,200,1,13543,1,0.249626,,,,572be13f433f454e,2,3.83
converge,omp,static,200,1,13543,1,0.246496,0.2462,0.2462,0.2462,572be13f433f454e,2,3.83
converge,omp,dynamic,200,1,13543,1,0.255756,0.2554,0.2554,0.2554,572be13f433f454e,2,3.83
converge,omp,static,200,2,13543,1,0.291390,0.1530,0.1471,0.1500,572be13f433f454e,2,3.83
converge,omp,dynamic,200,2,13543,1,0.273182,0.1652,0.1312,0.1482,572be13f433f454e,2,3.83
converge,omp,static,200,3,13543,1,0.279991,0.0860,0.0848,0.0855,572be13f433f454e,2,3.83
converge,omp,dynamic,200,3,13543,1,0.263754,0.1203,0.0624,0.0924,572be13f433f454e,2,3.83
converge,omp,static,200,4,13543,1,0.301133,0.0682,0.0628,0.0659,572be13f433f454e,2,3.83
converge,omp,dynamic,200,4,13543,1,0.292071,0.1087,0.0444,0.0724,572be13f433f454e,2,3.83
converge,omp,static,200,6,13543,1,0.499031,0.0589,0.0436,0.0479,572be13f433f454e,2,3.83
converge,omp,dynamic,200,6,13543,1,0.518930,0.1041,0.0042,0.0545,572be13f433f454e,2,3.83
converge,omp,static,200,8,13543,1,0.628775,0.0721,0.0352,0.0434,572be13f433f454e,2,3.83
converge,omp,dynamic,200,8,13543,1,0.603198,0.1085,0.0008,0.0415,572be13f433f454e,2,3.83
converge,omp,static,200,10,13543,1,0.753398,0.0710,0.0281,0.0408,572be13f433f454e,2,4.08
converge,omp,dynamic,200,10,13543,1,0.776009,0.1087,0.0012,0.0374,572be13f433f454e,2,4.08
converge,seq,seq,400,1,47875,1,3.580448,,,,f399eabf7074e4bd,1,4.08
converge,omp,static,400,1,47875,1,3.595239,3.5941,3.5941,3.5941,f399eabf7074e4bd,1,4.00
converge,omp,dynamic,400,1,47875,1,3.849074,3.8475,3.8475,3.8475,f399eabf7074e4bd,1,4.00
converge,omp,static,400,2,47875,1,2.527483,2.0423,1.9890,2.0157,f399eabf7074e4bd,1,3.84
converge,omp,dynamic,400,2,47875,1,2.610451,2.1168,2.0332,2.0750,f399eabf7074e4bd,1,3.69
converge,omp,static,400,3,47875,1,1.991888,1.2551,1.2403,1.2500,f399eabf7074e4bd,1,3.69
converge,omp,dynamic,400,3,47875,1,2.067121,1.3372,1.2789,1.3157,f399eabf7074e4bd,1,3.69
converge,omp,static,400,4,47875,1,2.559522,1.2434,1.1034,1.1420,f399eabf7074e4bd,1,3.71
converge,omp,dynamic,400,4,47875,1,1.921924,1.2062,0.9028,1.0468,f399eabf7074e4bd,1,3.71
converge,omp,static,400,6,47875,1,3.033497,1.0993,0.7156,0.8317,f399eabf7074e4bd,1,3.82
converge,omp,dynamic,400,6,47875,1,2.546946,1.0806,0.3239,0.8275,f399eabf7074e4bd,1,3.82
converge,omp,static,400,8,47875,1,3.011815,0.9441,0.5110,0.6265,f399eabf7074e4bd,1,3.67
converge,omp,dynamic,400,8,47875,1,2.919209,1.1079,0.0443,0.6485,f399eabf7074e4bd,1,3.62
converge,omp,static,400,10,47875,1,3.389310,1.0192,0.3848,0.5498,f399eabf7074e4bd,1,3.62
converge,omp,dynamic,400,10,47875,1,3.546721,1.1186,0.0122,0.5386,f399eabf7074e4bd,1,3.81
converge,seq,seq,400,1,47875,1,3.654132,,,,f399eabf7074e4bd,2,3.81
converge,omp,static,400,1,47875,1,3.699205,3.6979,3.6979,3.6979,f399eabf7074e4bd,2,3.58
converge,omp,dynamic,400,1,47875,1,3.665708,3.6645,3.6645,3.6645,f399eabf7074e4bd,2,3.46
converge,omp,static,400,2,47875,1,2.478234,2.0021,1.9538,1.9780,f399eabf7074e4bd,2,3.34
converge,omp,dynamic,400,2,47875,1,2.611919,2.1065,2.0146,2.0605,f399eabf7074e4bd,2,3.34
converge,omp,static,400,3,47875,1,1.964363,1.2491,1.2351,1.2444,f399eabf7074e4bd,2,3.31
converge,omp,dynamic,400,3,47875,1,2.001014,1.2974,1.2681,1.2838,f399eabf7074e4bd,2,3.31
converge,omp,static,400,4,47875,1,2.006997,1.0521,0.9833,1.0224,f399eabf7074e4bd,2,4.81
converge,omp,dynamic,400,4,47875,1,1.883756,1.1685,0.9081,1.0292,f399eabf7074e4bd,2,4.81
converge,omp,static,400,6,47875,1,2.787504,1.1322,0.6745,0.7927,f399eabf7074e4bd,2,4.81
converge,omp,dynamic,400,6,47875,1,2.514416,1.0620,0.2496,0.8161,f399eabf7074e4bd,2,4.66
converge,omp,static,400,8,47875,1,2.805150,0.9525,0.4838,0.5900,f399eabf7074e4bd,2,4.66
converge,omp,dynamic,400,8,47875,1,2.900889,1.0757,0.0361,0.6496,f399eabf7074e4bd,2,4.93
converge,omp,static,400,10,47875,1,3.481143,1.0158,0.3955,0.5593,f399eabf7074e4bd,2,4.61
converge,omp,dynamic,400,10,47875,1,3.531167,1.0873,0.0161,0.5220,f399eabf7074e4bd,2,4.61
converge,seq,seq,800,1,165265,1,51.883055,,,,e420520e75615ac3,1,4.49
